관리번호,도서명,저자,출판사,발행년도,ISBN,세트 ISBN,부가기호,권,주제분류번호,도서권수,대출건수,등록일자,
"118881985","내 몸에 이로운 식사를 하고 있습니까? :군살, 노화, 성인병으로부터 멀어지는 영리한 식사법 ","바스 카스트 지음 ;유영미 옮김","갈매나무","2019","9791190123129","","0","","517.52","1","4","2019-10-08",
"118881984","요리는 감이여 :충청도 할매들의 한평생 손맛 이야기 ","지은이: 51명의 충청도 할매들;강순분;공숙필;김균순;김미희;김송자;김연숙;김옥례;김옥자;김용선;김익한;김입분;김정순;명옥선;민일덕;박산옥;박영자;방재남;방정순;방정자;선우월광;송명예;송희순;신언년;신혜운;엄점례;우종순;유복동;윤인자;윤춘화;이경분;이묘순;이순구;이순례;이예식;이유자;장인순;정정희;정진희;정철구;정철임;조남예;조순덕;조재용;주미자;최경희;최금순;최봉화;최순자;최열순;홍방자;황은지","창비교육","2019","9791189228484","","0","","594.51","1","2","2019-10-08",
"118881983","(약선음식전문가 고은정, 한의사 김형찬이 전하는) 시의적절 약선음식","고은정;김형찬 [공] 지음","홍익출판사","2019","9788970656991","","1","","594.6","1","0","2019-10-08",
"118881982","빼지 말고 빠지게 하라 :황성수 박사의 자연식물식 ","황성수 [지음]","사이몬북스","2019","9791187330110","","1","","593.5","1","2","2019-10-08",
"118881981","먹는 단식 FMD :아프지 않고 오래 사는 식사 혁명 ","정양수 지음","테이스트북스","2019","9788954657266","","1","","512.54","1","2","2019-10-08",
"118881980","내 체질에는 어떤 음식이 맞을까?:나에게 맞는 체질 건강식","정주복 지음","GCC","2019","9791189432997","","1","","519.74","1","2","2019-10-08",
"118881979","다이어트 절대법칙 ","김동희 ;조아름 지음","라온아시아","2018","9791189089498","","","","593.5","1","2","2019-10-08",
"118881978","4차 산업혁명 시대, 나는 미래를 여는 부모다 :미래를 준비하는 부모는 자존감 있는 아이로 키운다! ","공기택 지음","꿈결","2019","9791188260720","","0","","378.9","1","2","2019-10-08",
"118881977","아빠 육아 입문 가이드 :예비 아빠~3세 아이아빠 ","NPO법인 파더링 저팬 글 ;고향옥 옮김","스푼북","2019","9791188283989","","0","","598.1","1","1","2019-10-08",
"118881975","아가야, 우리 잘해 보자! :부모와 아이를 위한 행복한 육아법 ","박선인 지음","지식과감성#","2019","9791162757390","","0","","598.1","1","1","2019-10-08",
