검색조건,,,,,,,,,
대출기간,2018-01-01 ~ 2018-12-31,,,,,,,,
성별,전체,,,,,,,,
연령,전체,,,,,,,,
지역,서울,,,,,,,,
세부지역,성북구,,,,,,,,
ISBN 부가기호,아동,,,,,,,,
주제,전체,,,,,,,,
,,,,,,,,,
제공기관 : 국립중앙도서관,,,,,,,,,
데이터 제공일 : 2019-12-23,,,,,,,,,
이용허락조건 : 저작자표시(BY) - 저작자와 출처 등을 표시하면 영리 목적의 이용이나 변경 및 2차적 저작물의 작성을 포함한 자유이용을 허락합니다.,,,,,,,,,
,,,,,,,,,
순위,서명,저자,출판사,출판년도,권,ISBN,ISBN부가기호,KDC,대출건수
61,달걀 한 개,박선미 글;조혜란 그림,보리,2006,,9788984282384 ,74810,813.6,8
61,손 큰 할머니의 만두 만들기 ,글: 채인선 ;그림: 이억배,재미마주,1998,,9788986565065 ,73810,813.6,8
61,솔이의 추석 이야기 ,글·그림: 이억배,길벗어린이,2011,,9788986621198 ,77810,813.7,8
61,하늘에서 음식이 내린다면,쥬디 바레트 글;홍연미 옮김,토토북,2007,,9788990611338 ,73840,843,8
61,이름 짓기 좋아하는 할머니,신시아 라일런트 글;신형건 옮김,보물창고,2006,,9788990794062 ,77840,843,8
61,슈퍼 거북 ,유설화 글·그림,책읽는곰,2014,,9788993242980 ,77810,813.7,8
61,달 샤베트,백희나,스토리보울,2010,,9788996478201 ,73810,,8
105,우리 누나,오카 슈조 지음;김난주 옮김,웅진닷컴,2002,,9788901038964 ,74800,833.6,7
105,"잘 가, 나의 비밀 친구",그웬 스트라우스 글;김혜진 옮김,웅진씽크빅,2007,,9788901066325 ,74840,843,7
105,소년 셜록 홈즈,앤드루 레인 글 ;김경희 옮김,랜덤하우스코리아,2011-2012,2,9788925543239 ,74840,843,7
105,Why? 생명과학 - 3판,허순봉,예림당,2009,10,9788930202398 ,73450,,7
105,Why? 로봇 ,글: 조영선 ;만화: 이영호,예림당,2011,22,9788930202510 ,74560,559,7
105,Why? 로켓과 탐사선,황근기,예림당,2006,29,9788930202589 ,74400,,7
105,Why? 언어와 문자 ,글: 조영선 ;그림: 이영호,예림당,2010,4,9788930231343 ,73700,1,7
105,Why? 정치 ,글: 조영선 ;그림: 이영호,예림당,2011,8,9788930231459 ,73340,1,7
105,Why? 수와 수학 ,글: 조영선 ;그림: 송회석,예림당,2011,10,9788930231466 ,73410,1,7
105,조커:학교 가기 싫을 때 쓰는 카드,수지 모건스턴 지음;김예령 옮김,문학과 지성사,2000,,9788932011974 ,73860,863,7
105,학교 가기 싫은 날 ,김기정 글 ;권문희 그림,현암사,2014,,9788932373744 ,73810,813.7,7
105,버럭 아빠와 지구 반 바퀴 ,김혜리 글 ;이량덕 그림,김영사,2010,,9788934941569 ,73810,813.7,7
105,또 잘못 뽑은 반장 ,이은재 글 ;신민재 그림,김영사,2014,,9788934993315 ,73810,813.7,7
105,냄비와 국자 전쟁,미하엘 엔데 글;곰발바닥 옮김,한길사,2006,,9788935653379 ,74850,853,7
105,문제아,박기범 지음;박경진 그림,창작과비평사,1999,,9788936441753 ,73810,813.6,7
105,앵무새 돌려주기 대작전 :임지윤 장편동화 ,지은이: 임지윤 ;그린이: 조승연,창비,2014,,9788936442767 ,73810,813.7,7
105,그리스에서 보물찾기,글: 곰돌이 co.;그림: 강경효,대한교과서,2005,8,9788937840272 ,77900,921,7
105,내 동생 싸게 팔아요,글: 임정자;그림: 김영수,대한교과서,2006,,9788937841668 ,74810,813.6,7
105,영국에서 보물찾기,글: 곰돌이 co.;그림: 강경효,대한교과서,2007,13,9788937841996 ,77900,924,7
105,캐나다에서 보물찾기 ,글: 곰돌이 co. ;그림: 강경효,미래엔 컬처그룹,2008,19,9788937842054 ,77900,941,7
105,내일은 실험왕 :본격 대결 과학실험 만화,글: 곰돌이 co. ;그림: 홍종현,대한교과서,2006-2008,1,9788937842184 ,77400,400,7
105,내일은 실험왕 :본격 대결 과학실험 만화,글: 곰돌이 co. ;그림: 홍종현,대한교과서,2006-2008,2,9788937842191 ,77400,400,7
105,내일은 실험왕 :본격 대결 과학실험 만화,글: 곰돌이 co. ;그림: 홍종현,대한교과서,2006-2008,7,9788937842245 ,77400,400,7
105,내일은 실험왕 :본격 대결 과학실험 만화,"글: 곰돌이 co. ,그림: 홍종현",미래엔,2011-2019,30,9788937884832 ,77400,400,7
105,이모의 결혼식,선현경 글·그림,비룡소,2004,,9788949100487 ,77810,813.6,7
